step,time,u_avg,u_exact_avg
1348,0.297486,0.076632,0.076659
1352,0.298368,0.076346,0.076373
1356,0.299251,0.076062,0.076088
1360,0.300134,0.075778,0.075804
1364,0.301017,0.075495,0.075521
1368,0.301899,0.075213,0.075239
1372,0.302782,0.074933,0.074959
1376,0.303665,0.074653,0.074679
1380,0.304548,0.074374,0.074401
1384,0.305430,0.074097,0.074123
1388,0.306313,0.073820,0.073846
1392,0.307196,0.073545,0.073571
1396,0.308078,0.073270,0.073296
1400,0.308961,0.072997,0.073023
1404,0.309844,0.072725,0.072751
1408,0.310727,0.072453,0.072479
1412,0.311609,0.072183,0.072209
1416,0.312492,0.071913,0.071939
1420,0.313375,0.071645,0.071671
1424,0.314258,0.071378,0.071404
1428,0.315140,0.071111,0.071137
1432,0.316023,0.070846,0.070872
1436,0.316906,0.070582,0.070607
1440,0.317789,0.070318,0.070344
1444,0.318671,0.070056,0.070082
1448,0.319554,0.069794,0.069820
1452,0.320437,0.069534,0.069560
1456,0.321320,0.069275,0.069300
1460,0.322202,0.069016,0.069042
1464,0.323085,0.068759,0.068784
1468,0.323968,0.068502,0.068528
1472,0.324851,0.068246,0.068272
1476,0.325733,0.067992,0.068017
1480,0.326616,0.067738,0.067763
1484,0.327499,0.067485,0.067511
1488,0.328382,0.067233,0.067259
1492,0.329264,0.066982,0.067008
1496,0.330147,0.066732,0.066758
1500,0.331030,0.066483,0.066509
1504,0.331913,0.066235,0.066261
1508,0.332795,0.065988,0.066014
1512,0.333678,0.065742,0.065767
1516,0.334561,0.065497,0.065522
1520,0.335444,0.065252,0.065277
1524,0.336326,0.065009,0.065034
1528,0.337209,0.064766,0.064791
1532,0.338092,0.064524,0.064550
1536,0.338975,0.064284,0.064309
1540,0.339857,0.064044,0.064069
1544,0.340740,0.063805,0.063830
1548,0.341623,0.063567,0.063592
1552,0.342506,0.063329,0.063354
1556,0.343388,0.063093,0.063118
1560,0.344271,0.062858,0.062883
1564,0.345154,0.062623,0.062648
1568,0.346037,0.062389,0.062414
1572,0.346919,0.062157,0.062182
1576,0.347802,0.061925,0.061950
1580,0.348685,0.061694,0.061718
1584,0.349568,0.061463,0.061488
1588,0.350450,0.061234,0.061259
