step,time,u_avg_total,u_avg_cube
93400,273.906738,20.395588,30.171700
93600,274.493256,20.395580,30.155684
93800,275.079773,20.395575,30.139683
94000,275.666290,20.395567,30.123726
94200,276.252838,20.395561,30.107887
94400,276.839355,20.395554,30.092072
94600,277.425873,20.395548,30.076349
94800,278.012390,20.395542,30.060711
95000,278.598907,20.395535,30.045073
95200,279.185455,20.395529,30.029440
95400,279.771973,20.395521,30.013813
95600,280.358490,20.395515,29.998209
95800,280.945007,20.395510,29.982700
96000,281.531555,20.395502,29.967253
96200,282.118073,20.395496,29.951845
96400,282.704590,20.395491,29.936554
96600,283.291107,20.395483,29.921297
96800,283.877625,20.395475,29.906042
97000,284.464172,20.395470,29.890795
97200,285.050690,20.395462,29.875563
97400,285.637207,20.395454,29.860407
97600,286.223724,20.395447,29.845341
97800,286.810272,20.395439,29.830290
98000,287.396790,20.395433,29.815350
98200,287.983307,20.395426,29.800472
98400,288.569824,20.395418,29.785597
98600,289.156342,20.395412,29.770725
98800,289.742889,20.395403,29.755859
99000,290.329407,20.395395,29.741007
99200,290.915924,20.395388,29.726208
99400,291.502441,20.395380,29.711510
99600,292.088989,20.395372,29.696833
99800,292.675507,20.395365,29.682215
100000,293.262024,20.395359,29.667715
100200,293.848541,20.395351,29.653221
100400,294.435059,20.395344,29.638729
100600,295.021606,20.395336,29.624245
100800,295.608124,20.395329,29.609772
101000,296.194641,20.395321,29.595367
101200,296.781158,20.395313,29.581062
101400,297.367706,20.395306,29.566769
101600,297.954224,20.395298,29.552542
101800,298.540741,20.395290,29.538420
102000,299.127258,20.395283,29.524305
102200,299.713776,20.395275,29.510195
102400,300.300323,20.395267,29.496086
102600,300.886841,20.395258,29.481983
102800,301.473358,20.395248,29.467896
103000,302.059875,20.395241,29.453876
103200,302.646423,20.395233,29.439947
103400,303.232941,20.395224,29.426035
103600,303.819458,20.395216,29.412170
103800,304.405975,20.395208,29.398417
104000,304.992493,20.395201,29.384686
104200,305.579041,20.395191,29.370955
104400,306.165558,20.395184,29.357229
104600,306.752075,20.395176,29.343508
104800,307.338593,20.395166,29.329805
105000,307.925110,20.395157,29.316200
105200,308.511658,20.395149,29.302658
105400,309.098175,20.395142,29.289129
105600,309.684692,20.395134,29.275671
105800,310.271210,20.395124,29.262285
106000,310.857758,20.395117,29.248934
106200,311.444275,20.395109,29.235586
106400,312.030792,20.395102,29.222237
106600,312.617310,20.395094,29.208895
106800,313.203827,20.395084,29.195562
107000,313.790375,20.395077,29.182259
107200,314.376892,20.395069,29.169069
107400,314.963409,20.395061,29.155910
107600,315.549927,20.395052,29.142761
107800,316.136475,20.395042,29.129662
108000,316.722992,20.395035,29.116688
108200,317.309509,20.395025,29.103718
108400,317.896027,20.395016,29.090752
108600,318.482544,20.395008,29.077785
108800,319.069092,20.394999,29.064823
109000,319.655609,20.394989,29.051872
109200,320.242126,20.394979,29.038982
109400,320.828644,20.394972,29.026192
109600,321.415192,20.394962,29.013418
